Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:38:01.688,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,15:38:01.828,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,15:38:01.989,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,15:38:02.313,target,semi-auto hitscan,0.202000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
5,15:38:02.462,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,15:38:02.774,target,semi-auto hitscan,0.167000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
7,15:38:02.934,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,15:38:03.084,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,15:38:03.246,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,15:38:03.403,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,15:38:03.555,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,15:38:03.917,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,15:38:04.068,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,15:38:04.217,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,15:38:04.401,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,15:38:04.574,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,15:38:04.724,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,15:38:04.863,target,semi-auto hitscan,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,15:38:05.050,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,15:38:05.373,target,semi-auto hitscan,0.139000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
21,15:38:05.545,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,15:38:05.692,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,15:38:06.032,target,semi-auto hitscan,0.190000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
24,15:38:06.201,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,15:38:06.348,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,15:38:06.511,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,15:38:06.708,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,15:38:06.843,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,15:38:07.168,target,semi-auto hitscan,0.157000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
30,15:38:07.329,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,15:38:07.499,target,semi-auto hitscan,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
