Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
52,04:53:56.801,Quaker Bot Long Strafes,LG,0.490000s,50,20,0.400000,100.000000,250.000000,0.400000,0,25
53,04:53:57.333,Quaker Bot Long Strafes,LG,0.270000s,28,21,0.750000,105.000000,140.000000,0.750000,0,25
54,04:53:58.361,Quaker Bot Long Strafes,LG,1.010000s,102,24,0.235294,120.000000,510.000000,0.235294,0,0
55,04:53:58.833,Quaker Bot Long Strafes,LG,0.222000s,23,21,0.913043,105.000000,115.000000,0.913043,0,25
56,04:53:59.953,Quaker Bot Long Strafes,LG,0.860000s,87,21,0.241379,105.000000,435.000000,0.241379,0,25
57,04:54:00.582,Quaker Bot Long Strafes,LG,0.370000s,38,21,0.552632,105.000000,190.000000,0.552632,0,25
58,04:54:02.483,Quaker Bot Long Strafes,LG,1.640000s,165,27,0.163636,135.000000,825.000000,0.163636,0,25
59,04:54:03.061,Quaker Bot Long Strafes,LG,0.321000s,33,20,0.606061,100.000000,165.000000,0.606061,0,25
60,04:54:03.581,Quaker Bot Long Strafes,LG,0.259000s,27,20,0.740741,100.000000,135.000000,0.740741,0,25
61,04:54:04.442,Quaker Bot Long Strafes,LG,0.599000s,61,21,0.344262,105.000000,305.000000,0.344262,0,25
62,04:54:05.173,Quaker Bot Long Strafes,LG,0.470000s,48,21,0.437500,105.000000,240.000000,0.437500,0,25
63,04:54:05.831,Quaker Bot Long Strafes,LG,0.450000s,46,20,0.434783,100.000000,230.000000,0.434783,0,19
64,04:54:06.541,Quaker Bot Long Strafes,LG,0.459000s,47,21,0.446809,105.000000,235.000000,0.446809,0,25
65,04:54:07.161,Quaker Bot Long Strafes,LG,0.361000s,37,20,0.540541,100.000000,185.000000,0.540541,0,24
66,04:54:07.772,Quaker Bot Long Strafes,LG,0.360000s,37,22,0.594595,110.000000,185.000000,0.594595,0,25
67,04:54:08.283,Quaker Bot Long Strafes,LG,0.250000s,26,20,0.769231,100.000000,130.000000,0.769231,0,25
68,04:54:08.973,Quaker Bot Long Strafes,LG,0.429000s,44,23,0.522727,115.000000,220.000000,0.522727,0,24
69,04:54:09.483,Quaker Bot Long Strafes,LG,0.259000s,27,21,0.777778,105.000000,135.000000,0.777778,0,25
70,04:54:10.871,Quaker Bot Long Strafes,LG,1.148000s,116,37,0.318966,185.000000,580.000000,0.318966,0,22
71,04:54:11.322,Quaker Bot Long Strafes,LG,0.200000s,21,14,0.666667,70.000000,105.000000,0.666667,0,25
72,04:54:12.043,Quaker Bot Long Strafes,LG,0.460000s,47,21,0.446809,105.000000,235.000000,0.446809,0,25
73,04:54:12.594,Quaker Bot Long Strafes,LG,0.289000s,30,20,0.666667,100.000000,150.000000,0.666667,0,25
74,04:54:13.043,Quaker Bot Long Strafes,LG,0.191000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
75,04:54:13.522,Quaker Bot Long Strafes,LG,0.341000s,35,21,0.600000,105.000000,175.000000,0.600000,0,12
76,04:54:14.282,Quaker Bot Long Strafes,LG,0.510000s,52,24,0.461538,120.000000,260.000000,0.461538,0,25
77,04:54:14.901,Quaker Bot Long Strafes,LG,0.359000s,37,20,0.540541,100.000000,185.000000,0.540541,0,25
78,04:54:16.202,Quaker Bot Long Strafes,LG,1.040000s,105,40,0.380952,200.000000,525.000000,0.380952,0,25
79,04:54:16.673,Quaker Bot Long Strafes,LG,0.211000s,22,11,0.500000,55.000000,110.000000,0.500000,0,25
80,04:54:17.445,Quaker Bot Long Strafes,LG,0.513000s,52,22,0.423077,110.000000,260.000000,0.423077,0,25
81,04:54:18.031,Quaker Bot Long Strafes,LG,0.330000s,34,21,0.617647,105.000000,170.000000,0.617647,0,25
82,04:54:18.622,Quaker Bot Long Strafes,LG,0.330000s,34,20,0.588235,100.000000,170.000000,0.588235,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
LG,3889,1812,9060.0,19445.0,

Kills:,82
Deaths:,0
Fight Time:,37.535
Time Remaining:,0.0
Avg TTK:,0.711509
Damage Done:,9060.0
Total Overshots:,1947
Damage Taken:,0.0
Hit Count:,1812
Miss Count:,2077
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,75.692307
Scenario:,BooliTS
Hash:,5b4ca44302fd33abebbfb47a0f47a733
Game Version:,3.9.1.2026-05-06-17-06-54-4967be094932
Challenge Start:,04:53:20.806
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.083333
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,1600
FOV:,103.0
FOVScale:,Overwatch
Hide Gun:,false
Crosshair:,rxSmallCross.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,568.167236
Resolution Scale:,100.0
